"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"KRTAP22-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR5H2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSMB3",1455.95,1498.16,1439.52,1357.24,2787.58,3581.73,3322.91,2904.25,2938.49,1764.5,1775.47,1686,2237.39,2135,1943,1546.09,2792.37,1396.22,2236.96
"SELS",389,338,377,372,1035,1172.69,1146,2685.56,3383.02,1272.96,1415,1713.94,1630.18,1380,1590.31,524.16,944,1596,1603
"MYF5",0,1,0,0,1,2,0,0,2,2,1,0,0,0,0,2,0,0,0
"C7orf65",3.24,2.44,6.75,3.66,11.41,7.96,9.07,10.36,5.71,4.73,1.03,7.51,1.69,7.76,2.26,13.32,18.11,5.17,4.72
"MYO1H",0,1,2,1,9,12.52,3,2,2,7,0,4,2,2,3.97,3,3,8,1
"GALNTL1",95.99,85,107,81,287,252,262,154,142,21,23,29,58,113,130,428,598.75,15,24
"PGA5",8.47,0,6.99,2.98,23.15,17,20,6.97,0,27,21.3,9.54,0,7.98,11,0,6.45,2.99,0
"RSPH4A",17,9,11,13,26,38,29,17,4,3,4,9,6,4,6,12,48,9,4
"KCTD13",44,45.88,41,51,179,150,196.04,561.12,801,627.98,660.29,690.18,290.99,248,238.12,277.97,298,344.98,353
"SWSAP1",99.94,86.21,78.91,78.7,214.33,295.94,218.39,125.41,116.74,117.51,137.67,141.72,62.6,72.81,65.84,145.84,139.59,119.13,160.24
"PRICKLE4",7,8,15,11,80,60,82,171,264.75,759.99,881.81,1304.71,145,169.36,121,427.58,283.82,711,548.01
"SLCO3A1",120.49,108,95,84,445.95,467,435.16,116,93,353,293,186,279.01,269.49,342,355,534.51,80,64.85
"PPIAL4G",0,0,5.31,0,0,8.06,6.84,34.3,35.51,11.69,6.45,7.68,8.49,11.88,11.03,18.37,12.14,22.25,5.8
"SCNN1G",3.97,5.98,3.02,7.01,9.98,7.09,4.09,5.27,2.67,1.63,1.61,3.98,2.93,2.62,1,11.82,3.04,7.32,8.23
"SPRR2B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C19orf33",23.37,20.52,15.24,9.44,49.56,80.16,65.86,8.17,9.35,4.13,6.13,1.04,2,0,0,0,0,32.74,39.09
"NSRP1",147.89,163,162.5,158.54,1017.12,1196.49,1050.2,1029.66,923.3,652.09,716.22,758.6,932.34,1011.66,839.85,918.62,909.98,442.08,587.2
"OPA1",1294.03,1299.48,1241,1238.04,3338.98,4075.52,4005.19,2814.08,1867.48,1892.53,1907,1699.43,1561.02,1595.43,1722,3028.52,2968.85,1334.01,1869.94
